"state.name","state.abb","",""
"Alabama","AL","-86.7509","32.5901"
"Alaska","AK","-127.25","49.25"
"Arizona","AZ","-111.625","34.2192"
"Arkansas","AR","-92.2992","34.7336"
"California","CA","-119.773","36.5341"
"Colorado","CO","-105.513","38.6777"
"Connecticut","CT","-72.3573","41.5928"
"Delaware","DE","-74.9841","38.6777"
"Florida","FL","-81.685","27.8744"
"Georgia","GA","-83.3736","32.3329"
"Hawaii","HI","-126.25","31.75"
"Idaho","ID","-113.93","43.5648"
"Illinois","IL","-89.3776","40.0495"
"Indiana","IN","-86.0808","40.0495"
"Iowa","IA","-93.3714","41.9358"
"Kansas","KS","-98.1156","38.4204"
"Kentucky","KY","-84.7674","37.3915"
"Louisiana","LA","-92.2724","30.6181"
"Maine","ME","-68.9801","45.6226"
"Maryland","MD","-76.6459","39.2778"
"Massachusetts","MA","-71.58","42.3645"
"Michigan","MI","-84.687","43.1361"
"Minnesota","MN","-94.6043","46.3943"
"Mississippi","MS","-89.8065","32.6758"
"Missouri","MO","-92.5137","38.3347"
"Montana","MT","-109.32","46.823"
"Nebraska","NE","-99.5898","41.3356"
"Nevada","NV","-116.851","39.1063"
"New Hampshire","NH","-71.3924","43.3934"
"New Jersey","NJ","-74.2336","39.9637"
"New Mexico","NM","-105.942","34.4764"
"New York","NY","-75.1449","43.1361"
"North Carolina","NC","-78.4686","35.4195"
"North Dakota","ND","-100.099","47.2517"
"Ohio","OH","-82.5963","40.221"
"Oklahoma","OK","-97.1239","35.5053"
"Oregon","OR","-120.068","43.9078"
"Pennsylvania","PA","-77.45","40.9069"
"Rhode Island","RI","-71.1244","41.5928"
"South Carolina","SC","-80.5056","33.619"
"South Dakota","SD","-99.7238","44.3365"
"Tennessee","TN","-86.456","35.6767"
"Texas","TX","-98.7857","31.3897"
"Utah","UT","-111.33","39.1063"
"Vermont","VT","-72.545","44.2508"
"Virginia","VA","-78.2005","37.563"
"Washington","WA","-119.746","47.4231"
"West Virginia","WV","-80.6665","38.4204"
"Wisconsin","WI","-89.9941","44.5937"
"Wyoming","WY","-107.256","43.0504"
