sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_501Y.V1,baselinesurv_n_501Y.V2,baselinesurv_n_501Y.V3,activesurv_total_sequenced,activesurv_n_501Y.V1,activesurv_n_501Y.V2,activesurv_n_501Y.V3
30/11-6/12 (w 49),2020,49,2020-12-03,33,0,0,0,74,3,0,0
7/12-13/12 (w 50),2020,50,2020-12-10,1,0,0,0,109,0,0,0
14/12–20/12 (w 51),2020,51,2020-12-17,92,0,0,0,126,1,1,0
21/12-27/12 (w 52),2020,52,2020-12-24,22,3,0,0,48,11,1,0
28/12–3/01 (w 53),2020,53,2020-12-31,80,0,0,0,68,26,7,0
4/01–10/01 (w 1),2021,1,2021-01-07,177,13,0,0,141,38,8,0
11/01–17/01 (w 2),2021,2,2021-01-14,117,10,1,0,503,244,38,0
18/01-24/01 (w 3),2021,3,2021-01-21,575,70,11,0,527,366,13,0
25/01 – 31/01 (w 4),2021,4,2021-01-28,592,134,26,2,364,246,9,0
01/02 – 07/02 (w 5),2021,5,2021-02-04,947,372,40,8,193,53,25,0
08/02 – 14/02 (w 6),2021,6,2021-02-11,869,364,71,15,275,96,45,9
15/02 – 21/02 (w 7),2021,7,2021-02-18,1118,566,64,26,422,126,63,20
22/02 – 28/02 (w 8),2021,8,2021-02-25,1257,721,94,20,195,93,49,15
01/03-07/03 (w 9),2021,9,2021-03-04,966,610,84,28,231,119,71,5
08/03-14/03 (w 10),2021,10,2021-03-11,762,566,46,22,98,58,30,4
15/03-21/03 (w 11),2021,11,2021-03-18,216,175,6,8,38,26,9,2
