sampling_week,year,week,collection_date,baselinesurv_total_sequenced,baselinesurv_n_501Y.V1,baselinesurv_n_501Y.V2,baselinesurv_n_501Y.V3,activesurv_total_sequenced,activesurv_n_501Y.V1,activesurv_n_501Y.V2,activesurv_n_501Y.V3
30/11-6/12 (w 49),2020,49,2020/12/03,33,0,0,0,74,3,0,0
7/12-13/12 (w 50),2020,50,2020/12/10,1,0,0,0,109,0,0,0
14/12–20/12 (w 51),2020,51,2020/12/17,92,0,0,0,126,1,1,0
21/12-27/12 (w 52),2020,52,2020/12/24,22,3,0,0,48,11,1,0
28/12–3/01 (w 53),2020,53,2020/12/31,80,0,0,0,68,26,7,0
4/01–10/01 (w 1),2021,1,2021/01/07,98,7,0,0,140,38,8,0
11/01–17/01 (w 2),2021,2,2021/01/14,104,8,1,0,501,243,38,0
18/01-24/01 (w 3),2021,3,2021/01/21,477,64,11,0,525,366,13,0
25/01 – 31/01 (w 4),2021,4,2021/01/28,522,122,26,2,353,242,9,0
01/02 – 07/02 (w 5),2021,5,2021/02/04,748,297,34,1,174,49,25,0
08/02 – 14/02 (w 6),2021,6,2021/02/11,665,283,63,12,243,84,42,9
15/02 – 21/02 (w 7),2021,7,2021/02/18,854,419,43,16,285,95,45,16
22/02 – 28/02 (w 8),2021,8,2021/02/25,189,112,3,4,20,5,10,4
