longitude,latitude,country_GISAID,country,iso3c,iso3166_2,continent
-58.98202596,4.79378052,,Guyana,GUY,,South America
-72.68527364,18.93500961,,Haiti,HTI,,North America
73.52052712,-53.08725301,,Heard Island and McDonald Islands,HMD,,Antarctica
-86.61516846,14.82688225,,Honduras,HND,,North America
114.1137986,22.39828782,Hong Kong,Hong Kong SAR China,HKG,,Asia
114.1137986,22.39828782,Hong Kong S.A.R.,Hong Kong SAR China,HKG,,Asia
19.39559381,47.16277712,,Hungary,HUN,,Europe
-18.57397086,64.99575263,,Iceland,ISL,,Europe
79.61197355,22.88578035,,India,IND,,Asia
104.8494652,-10.64829627,,Indian Ocean Territories,IOT,,Africa
117.2400976,-2.21505018,,Indonesia,IDN,,Asia
54.27407071,32.57503287,,Iran,IRN,,Asia
43.74353204,33.03970511,,Iraq,IRQ,,Asia
-8.13793167,53.1754426,,Ireland,IRL,,Europe
-4.53873822,54.2241965,,Isle of Man,IMN,,Europe
35.00444995,31.4611019,,Israel,ISR,,Asia
12.07000946,42.79663568,,Italy,ITA,,Europe
-5.56921598,7.62842868,,Ivory Coast,CIV,,Africa
-77.31482556,18.15695476,,Jamaica,JAM,,North America
138.0308921,37.59230065,,Japan,JPN,,Asia
-2.12687655,49.21837488,,Jersey,JEY,,Europe
36.77137251,31.24579389,,Jordan,JOR,,Asia
67.29149657,48.15687954,,Kazakhstan,KAZ,,Asia
37.79594437,0.5998746,,Kenya,KEN,,Africa
-45.6220913,0.86052252,,Kiribati,KIR,,Oceania
20.87249613,42.57078418,Kosovo,Serbia,NA,,Europe
47.58699362,29.33431677,,Kuwait,KWT,,Asia
74.54165548,41.46221785,,Kyrgyzstan,KGZ,,Asia
103.7377213,18.50217971,,Laos,LAO,,Asia
24.9123704,56.85085306,,Latvia,LVA,,Europe
35.88016327,33.92306993,,Lebanon,LBN,,Asia
28.22722773,-29.5800467,,Lesotho,LSO,,Africa
-9.32207781,6.45278273,,Liberia,LBR,,Africa
18.00865782,27.03094247,,Libya,LBY,,Africa
9.53573593,47.13665447,,Liechtenstein,LIE,,Europe
23.88720035,55.32611078,,Lithuania,LTU,,Europe
6.07182681,49.76724687,,Luxembourg,LUX,,Europe
113.509331,22.22310807,,Macau S.A.R,MAC,,Asia
21.68211343,41.59531059,,Macedonia,MKD,,Europe
46.70473751,-19.37189599,,Madagascar,MDG,,Africa
34.2893585,-13.2180697,,Malawi,MWI,,Africa
109.6976155,3.78987255,,Malaysia,MYS,,Asia
73.45711081,3.72854733,,Maldives,MDV,,Asia
-3.54268794,17.34581461,,Mali,MLI,,Africa
14.40522042,35.92151315,,Malta,MLT,,Europe
170.3396364,7.00352799,,Marshall Islands,MHL,,Oceania
-61.024174,14.641528,,Martinique,MTQ,,North America
-10.3477974,20.25736926,,Mauritania,MRT,,Africa
57.57120758,-20.2777156,,Mauritius,MUS,,Africa
45.130741,-12.809645,,Mayotte,MYT,,Africa
-102.5234504,23.94753932,,Mexico,MEX,,North America
28.45673742,47.19499323,,Moldova,MDA,,Europe
7.40628055,43.75276115,,Monaco,MCO,,Europe
103.0529965,46.82681435,,Mongolia,MNG,,Asia
19.2388382,42.7889115,,Montenegro,MNE,,Europe
-62.18519807,16.73941361,,Montserrat,MSR,,North America
-8.45616045,29.83762793,,Morocco,MAR,,Africa
35.53367351,-17.27381898,,Mozambique,MOZ,,Africa
96.48843207,21.18566514,Myanmar,Myanmar (Burma),MMR,,Asia
17.20962769,-22.13030791,,Namibia,NAM,,Africa
166.9325852,-0.51914199,,Nauru,NRU,,Oceania
83.9158367,28.24891362,,Nepal,NPL,,Asia
5.2814735,52.10080804,,Netherlands,NLD,,Europe
165.6849208,-21.29990206,,New Caledonia,NCL,,Oceania
171.4849539,-41.81112825,,New Zealand,NZL,,Oceania
-85.03052894,12.84709633,,Nicaragua,NIC,,North America
9.38546454,17.41912605,,Niger,NER,,Africa
8.08944243,9.59411807,,Nigeria,NGA,,Africa
-169.8699537,-19.0494623,,Niue,NIU,,Oceania
167.949202,-29.05143845,,Norfolk Island,NFK,,Oceania
127.1924781,40.15350291,,North Korea,PRK,,Asia
21.745275,41.608635,,North Macedonia,MKD,,Europe
33.5684401,35.2627605,,Northern Cyprus,CYP,,Europe
-5.926437,54.607868,,Northern Ireland,NA,,Europe
145.6196188,15.82873009,,Northern Mariana Islands,MNP,,Oceania
15.34832968,68.75014407,,Norway,NOR,,Europe
56.09165967,20.60515412,,Oman,OMN,,Asia
69.33958027,29.94975221,,Pakistan,PAK,,Asia
134.4082215,7.28760993,,Palau,PLW,,Oceania
35.233154,31.952162,Palestine,Palestinian Territories,PSE,,Asia
-80.11915152,8.5175119,,Panama,PAN,,North America
145.2074492,-6.46416276,,Papua New Guinea,PNG,,Oceania
-58.40014084,-23.22823896,,Paraguay,PRY,,South America
-74.38242889,-9.15280281,,Peru,PER,,South America
122.8839215,11.77539737,,Philippines,PHL,,Asia
-128.3170409,-24.36498595,,Pitcairn Islands,PCN,,Oceania
19.39011841,52.12759537,,Poland,POL,,Europe
-8.50105506,39.59550247,,Portugal,PRT,,Europe
-66.47307314,18.22812711,,Puerto Rico,PRI,,North America
51.18478512,25.30600936,,Qatar,QAT,,Asia
20.78958121,44.22150308,,Republic of Serbia,SRB,,Europe
15.21965722,-0.83788172,Republic of the Congo,Congo - Brazzaville,COG,,Africa
55.448101,-20.878901,Reunion,Réunion,REU,,Africa
24.97293286,45.85242939,,Romania,ROU,,Europe
96.68657347,61.98052168,,Russia,RUS,,Europe
29.91989113,-1.99033199,,Rwanda,RWA,,Africa
-62.84068712,17.89881045,Saint Barthelemy,St. Barthélemy,BLM,,North America
-9.54768684,-12.40367621,,Saint Helena,SHN,,Africa
-62.68754242,17.26458594,Saint Kitts and Nevis,St. Kitts & Nevis,KNA,,North America
-60.96969329,13.8947837,Saint Lucia,St. Lucia,LCA,,North America
-63.05971623,18.08889331,Saint Martin,Sint Maarten,SXM,,North America
-56.30319339,46.91919986,,Saint Pierre and Miquelon,SPM,,North America
-61.20129438,13.22471841,Saint Vincent and the Grenadines,St. Vincent & Grenadines,VCT,,North America
-172.1648148,-13.75327339,,Samoa,WSM,,Oceania
12.45923029,43.94186939,,San Marino,SMR,,Europe
6.72429635,0.44390851,,Sao Tome and Principe,STP,,Africa
44.53687041,24.12245467,,Saudi Arabia,SAU,,Asia
-4.2026458,56.4906712,,Scotland,NA,,Europe
-14.47348904,14.36624381,,Senegal,SEN,,Africa
20.457273,44.787197,,Serbia,SRB,,Europe
55.47601997,-4.66097821,,Seychelles,SYC,,Africa
77.18011287,35.39236619,,Siachen Glacier,NA,,Asia
-11.79271209,8.56329069,,Sierra Leone,SLE,,Africa
103.8172532,1.35877066,,Singapore,SGP,,Asia
-62.973555,17.4890306,Sint Eustatius,Caribbean Netherlands,NA,,South America
-63.05713283,18.05081813,Sint Maarten,Caribbean Netherlands,SXM,,North America
19.47905212,48.70547175,,Slovakia,SVK,,Europe
14.8044464,46.11555444,,Slovenia,SVN,,Europe
159.6328471,-8.92175696,,Solomon Islands,SLB,,Oceania
45.70716243,4.75065195,,Somalia,SOM,,Africa
46.2519833,9.73345795,,Somaliland,NA,,Africa
25.08388384,-29.0003377,,South Africa,ZAF,,Africa
-36.43320448,-54.46487151,,South Georgia and South Sandwich Islands,SGS,,Antarctica
127.8391693,36.3852463,,South Korea,KOR,,Asia
30.24790056,7.30877585,,South Sudan,SSD,,Africa
-3.64754874,40.24448626,,Spain,ESP,,Europe
80.70107795,7.61266309,,Sri Lanka,LKA,,Asia
29.94047226,15.99035431,,Sudan,SDN,,Africa
-55.91234833,4.13055377,,Suriname,SUR,,South America
31.48193159,-26.55842734,,Swaziland,SWZ,,Africa
16.74371219,62.79232016,,Sweden,SWE,,Europe
8.20866006,46.79785296,,Switzerland,CHE,,Europe
38.50787939,35.02547248,,Syria,SYR,,Asia
120.9542726,23.75400343,,Taiwan,TWN,,Asia
71.01363312,38.53045125,,Tajikistan,TJK,,Asia
101.0028835,15.11816347,,Thailand,THA,,Asia
-76.62835738,24.29031222,The Bahamas,Bahamas,BHS,,North America
125.727539,-8.874217,,Timor-Leste,TLS,,Asia
0.96232118,8.52529798,,Togo,TGO,,Africa
-171.855881,-8.967363,,Tokelau,TKL,,Oceania
-174.8097544,-20.42814141,,Tonga,TON,,Oceania
-61.26565805,10.45735757,Trinidad and Tobago,Trinidad & Tobago,TTO,,North America
9.55288287,34.11956663,,Tunisia,TUN,,Africa
35.16895529,39.06160342,,Turkey,TUR,,Asia
59.37099935,39.11554017,,Turkmenistan,TKM,,Asia
-71.97385725,21.83047424,Turks and Caicos Islands,Turks & Caicos Islands,TCA,,North America
178.5198949,-7.76005828,,Tuvalu,TUV,,Oceania
-64.80300497,17.95501398,,U.S. Virgin Islands,VIR,,North America
32.36907536,1.27469024,,Uganda,UGA,,Africa
31.38325794,48.99656784,,Ukraine,UKR,,Europe
54.30015737,23.90527175,,United Arab Emirates,ARE,,Asia
-2.86563362,54.12387156,,United Kingdom,GBR,,Europe
34.81310214,-6.27565815,,United Republic of Tanzania,TZA,,Africa
-112.4616706,45.67955203,USA,United States,USA,,North America
-64.80300497,17.95501398,,United States Virgin Islands,VIR,VI,North America
-56.01806795,-32.79951982,,Uruguay,URY,,South America
-112.4616706,45.67955203,,USA,USA,,North America
63.14001799,41.75554081,,Uzbekistan,UZB,,Asia
167.6863674,-16.22630588,,Vanuatu,VUT,,Oceania
12.43386255,41.90174097,,Vatican,VAT,,Europe
-66.18184085,7.12422395,,Venezuela,VEN,,South America
106.2991386,16.64601451,,Vietnam,VNM,,Asia
-3.783712,52.130661,,Wales,NA,,Europe
-177.3481331,-13.88724988,Wallis and Futuna,Wallis & Futuna,WLF,,Oceania
-177.3481331,-13.88724988,Wallis and Futuna Islands,Wallis & Futuna,WLF,,Oceania
35.24782134,31.94798033,,West Bank,PSE,,Asia
-12.2198297,24.22956358,,Western Sahara,ESH,,Africa
47.58676005,15.90927655,,Yemen,YEM,,Asia
27.77475082,-13.45824537,,Zambia,ZMB,,Africa
29.85145031,-19.00420587,,Zimbabwe,ZWE,,Africa
-86.7509,32.5901,USA,Alabama,,AL,North America
-127.25,49.25,USA,Alaska,,AK,North America
-111.625,34.2192,USA,Arizona,,AZ,North America
-92.2992,34.7336,USA,Arkansas,,AR,North America
-119.773,36.5341,USA,California,,CA,North America
-105.513,38.6777,USA,Colorado,,CO,North America
-72.3573,41.5928,USA,Connecticut,,CT,North America
-74.9841,38.6777,USA,Delaware,,DE,North America
-81.685,27.8744,USA,Florida,,FL,North America
-83.3736,32.3329,USA,Georgia,,GA,North America
-126.25,31.75,USA,Hawaii,,HI,North America
-113.93,43.5648,USA,Idaho,,ID,North America
-89.3776,40.0495,USA,Illinois,,IL,North America
-86.0808,40.0495,USA,Indiana,,IN,North America
-93.3714,41.9358,USA,Iowa,,IA,North America
-98.1156,38.4204,USA,Kansas,,KS,North America
-84.7674,37.3915,USA,Kentucky,,KY,North America
-92.2724,30.6181,USA,Louisiana,,LA,North America
-68.9801,45.6226,USA,Maine,,ME,North America
-76.6459,39.2778,USA,Maryland,,MD,North America
-71.58,42.3645,USA,Massachusetts,,MA,North America
-84.687,43.1361,USA,Michigan,,MI,North America
-94.6043,46.3943,USA,Minnesota,,MN,North America
-89.8065,32.6758,USA,Mississippi,,MS,North America
-92.5137,38.3347,USA,Missouri,,MO,North America
-109.32,46.823,USA,Montana,,MT,North America
-99.5898,41.3356,USA,Nebraska,,NE,North America
-116.851,39.1063,USA,Nevada,,NV,North America
-71.3924,43.3934,USA,New Hampshire,,NH,North America
-74.2336,39.9637,USA,New Jersey,,NJ,North America
-105.942,34.4764,USA,New Mexico,,NM,North America
-75.1449,43.1361,USA,New York,,NY,North America
-78.4686,35.4195,USA,North Carolina,,NC,North America
-100.099,47.2517,USA,North Dakota,,ND,North America
-82.5963,40.221,USA,Ohio,,OH,North America
-97.1239,35.5053,USA,Oklahoma,,OK,North America
-120.068,43.9078,USA,Oregon,,OR,North America
-77.45,40.9069,USA,Pennsylvania,,PA,North America
-71.1244,41.5928,USA,Rhode Island,,RI,North America
-80.5056,33.619,USA,South Carolina,,SC,North America
-99.7238,44.3365,USA,South Dakota,,SD,North America
-86.456,35.6767,USA,Tennessee,,TN,North America
-98.7857,31.3897,USA,Texas,,TX,North America
-111.33,39.1063,USA,Utah,,UT,North America
-72.545,44.2508,USA,Vermont,,VT,North America
-78.2005,37.563,USA,Virginia,,VA,North America
-119.746,47.4231,USA,Washington,,WA,North America
-80.6665,38.4204,USA,West Virginia,,WV,North America
-89.9941,44.5937,USA,Wisconsin,,WI,North America
-107.256,43.0504,USA,Wyoming,,WY,North America
,,India,Andaman and Nicobar Islands,,AN,
,,India,Andhra Pradesh,,AP,
,,India,Arunachal Pradesh,,AR,
,,India,Assam,,AS,
,,India,Bihar,,BR,
,,India,Chandigarh,,CH,
,,India,Chhattisgarh,,CG,
,,India,Dadra and Nagar Haveli and Daman and Diu,,DD,
,,India,Delhi,,DL,
,,India,Goa,,GA,
,,India,Gujarat,,GJ,
,,India,Haryana,,HR,
,,India,Himachal Pradesh,,HP,
,,India,Jammu and Kashmir,,JK,
,,India,Jharkhand,,JH,
,,India,Karnataka,,KA,
,,India,Kerala,,KL,
,,India,Ladakh,,LA,
,,India,Lakshadweep,,LD,
,,India,Madhya Pradesh,,MP,
,,India,Maharashtra,,MH,
,,India,Manipur,,MN,
,,India,Meghalaya,,ML,
,,India,Mizoram,,MZ,
,,India,Nagaland,,NL,
,,India,Odisha,,OD,
,,India,Puducherry,,PY,
,,India,Punjab,,PB,
,,India,Rajasthan,,RJ,
,,India,Sikkim,,SK,
,,India,Tamil Nadu,,TN,
,,India,Telangana,,TS,
,,India,Tripura,,TR,
,,India,Uttar Pradesh,,UP,
,,India,Uttarakhand,,UK,
,,India,West Bengal,,WB,
,,Canada, Alberta,,AB,
,,Canada, British Columbia,,BC,
,,Canada, Manitoba,,MB,
,,Canada, New Brunswick,,NB,
,,Canada, Newfoundland and Labrador,,NL,
,,Canada, Nova Scotia,,NS,
,,Canada, Ontario,,ON,
,,Canada, Quebec,,QC,
,,Canada, Saskatchewan,,SK,
