iso3c,country,country_rworldmap,country_GISAID,continent,longitude,latitude
GRC,Greece,Greece,Greece,Europe,22.95556207,39.07466973
GRD,Grenada,Grenada,Grenada,North America,-61.68219415,12.1172555
GRL,Greenland,Greenland,NA,North America,-41.34191035,74.71051369
GTM,Guatemala,Guatemala,Guatemala,North America,-90.36482288,15.69404158
GUM,Guam,Guam,Guam,Oceania,144.7679224,13.4416655
GUY,Guyana,Guyana,Guyana,South America,-58.98202596,4.79378052
HKG,Hong Kong SAR China,Hong Kong S.A.R.,Hong Kong,Asia,114.1137986,22.39828782
HMD,Heard & McDonald Islands,Heard Island and McDonald Islands,NA,Antarctica,73.52052712,-53.08725301
HND,Honduras,Honduras,Honduras,North America,-86.61516846,14.82688225
HRV,Croatia,Croatia,Croatia,Europe,16.40413079,45.08047284
HTI,Haiti,Haiti,Haiti,North America,-72.68527364,18.93500961
HUN,Hungary,Hungary,Hungary,Europe,19.39559381,47.16277712
IDN,Indonesia,Indonesia,Indonesia,Asia,117.2400976,-2.21505018
IMN,Isle of Man,Isle of Man,NA,Europe,-4.53873822,54.2241965
IND,India,India,India,Asia,79.61197355,22.88578035
IOT,British Indian Ocean Territory,British Indian Ocean Territory,NA,Africa,72.44540239,-7.33058251
IRL,Ireland,Ireland,Ireland,Europe,-8.13793167,53.1754426
IRN,Iran,Iran,Iran,Asia,54.27407071,32.57503287
IRQ,Iraq,Iraq,Iraq,Asia,43.74353204,33.03970511
ISL,Iceland,Iceland,Iceland,Europe,-18.57397086,64.99575263
ISR,Israel,Israel,Israel,Asia,35.00444995,31.4611019
ITA,Italy,Italy,Italy,Europe,12.07000946,42.79663568
JAM,Jamaica,Jamaica,Jamaica,North America,-77.31482556,18.15695476
JEY,Jersey,Jersey,NA,Europe,-2.12687655,49.21837488
JOR,Jordan,Jordan,Jordan,Asia,36.77137251,31.24579389
JPN,Japan,Japan,Japan,Asia,138.0308921,37.59230065
KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Asia,67.29149657,48.15687954
KEN,Kenya,Kenya,Kenya,Africa,37.79594437,0.5998746
KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Asia,74.54165548,41.46221785
KHM,Cambodia,Cambodia,Cambodia,Asia,104.9069431,12.72004932
KIR,Kiribati,Kiribati,NA,Oceania,-45.6220913,0.86052252
KNA,St. Kitts & Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis,North America,-62.68754242,17.26458594
KOR,South Korea,South Korea,South Korea,Asia,127.8391693,36.3852463
KSV,Kosovo,Kosovo,Kosovo,Europe,20.87249613,42.57078418
KWT,Kuwait,Kuwait,Kuwait,Asia,47.58699362,29.33431677
LAO,Laos,Laos,NA,Asia,103.7377213,18.50217971
LBN,Lebanon,Lebanon,Lebanon,Asia,35.88016327,33.92306993
LBR,Liberia,Liberia,Liberia,Africa,-9.32207781,6.45278273
LBY,Libya,Libya,Libya,Africa,18.00865782,27.03094247
LCA,St. Lucia,Saint Lucia,Saint Lucia,North America,-60.96969329,13.8947837
LIE,Liechtenstein,Liechtenstein,Liechtenstein,Europe,9.53573593,47.13665447
LKA,Sri Lanka,Sri Lanka,Sri Lanka,Asia,80.70107795,7.61266309
LSO,Lesotho,Lesotho,Lesotho,Africa,28.22722773,-29.5800467
LTU,Lithuania,Lithuania,Lithuania,Europe,23.88720035,55.32611078
LUX,Luxembourg,Luxembourg,Luxembourg,Europe,6.07182681,49.76724687
LVA,Latvia,Latvia,Latvia,Europe,24.9123704,56.85085306
MAC,Macao SAR China,Macau S.A.R,NA,Asia,113.509331,22.22310807
MAR,Morocco,Morocco,Morocco,Africa,-8.45616045,29.83762793
MCO,Monaco,Monaco,Monaco,Europe,7.40628055,43.75276115
MDA,Moldova,Moldova,Moldova,Europe,28.45673742,47.19499323
MDG,Madagascar,Madagascar,Madagascar,Africa,46.70473751,-19.37189599
MDV,Maldives,Maldives,Maldives,Asia,73.45711081,3.72854733
MEX,Mexico,Mexico,Mexico,North America,-102.5234504,23.94753932
MHL,Marshall Islands,Marshall Islands,NA,Oceania,170.3396364,7.00352799
MKD,North Macedonia,Macedonia,North Macedonia,Europe,21.68211343,41.59531059
MLI,Mali,Mali,Mali,Africa,-3.54268794,17.34581461
MLT,Malta,Malta,Malta,Europe,14.40522042,35.92151315
MMR,Myanmar (Burma),Myanmar,Myanmar,Asia,96.48843207,21.18566514
MNE,Montenegro,Montenegro,Montenegro,Europe,19.2388382,42.7889115
MNG,Mongolia,Mongolia,Mongolia,Asia,103.0529965,46.82681435
MNP,Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands,Oceania,145.6196188,15.82873009
MOZ,Mozambique,Mozambique,Mozambique,Africa,35.53367351,-17.27381898
MRT,Mauritania,Mauritania,NA,Africa,-10.3477974,20.25736926
MSR,Montserrat,Montserrat,Montserrat,North America,-62.18519807,16.73941361
MUS,Mauritius,Mauritius,Mauritius,Africa,57.57120758,-20.2777156
MWI,Malawi,Malawi,Malawi,Africa,34.2893585,-13.2180697
MYS,Malaysia,Malaysia,Malaysia,Asia,109.6976155,3.78987255
NAM,Namibia,Namibia,Namibia,Africa,17.20962769,-22.13030791
NCL,New Caledonia,New Caledonia,NA,Oceania,165.6849208,-21.29990206
NER,Niger,Niger,Niger,Africa,9.38546454,17.41912605
NFK,Norfolk Island,Norfolk Island,NA,Oceania,167.949202,-29.05143845
NGA,Nigeria,Nigeria,Nigeria,Africa,8.08944243,9.59411807
NIC,Nicaragua,Nicaragua,Nicaragua,North America,-85.03052894,12.84709633
NIU,Niue,Niue,NA,Oceania,-169.8699537,-19.0494623
NLD,Netherlands,Netherlands,Netherlands,Europe,5.2814735,52.10080804
NOR,Norway,Norway,Norway,Europe,15.34832968,68.75014407
NPL,Nepal,Nepal,Nepal,Asia,83.9158367,28.24891362
NRU,Nauru,Nauru,NA,Oceania,166.9325852,-0.51914199
NZL,New Zealand,New Zealand,New Zealand,Oceania,171.4849539,-41.81112825
OMN,Oman,Oman,Oman,Asia,56.09165967,20.60515412
PAK,Pakistan,Pakistan,Pakistan,Asia,69.33958027,29.94975221
PAN,Panama,Panama,Panama,North America,-80.11915152,8.5175119
PCN,Pitcairn Islands,Pitcairn Islands,NA,Oceania,-128.3170409,-24.36498595
PER,Peru,Peru,Peru,South America,-74.38242889,-9.15280281
PHL,Philippines,Philippines,Philippines,Asia,122.8839215,11.77539737
PLW,Palau,Palau,Palau,Oceania,134.4082215,7.28760993
PNG,Papua New Guinea,Papua New Guinea,Papua New Guinea,Oceania,145.2074492,-6.46416276
POL,Poland,Poland,Poland,Europe,19.39011841,52.12759537
PRI,Puerto Rico,Puerto Rico,Puerto Rico,North America,-66.47307314,18.22812711
PRK,North Korea,North Korea,NA,Asia,127.1924781,40.15350291
PRT,Portugal,Portugal,Portugal,Europe,-8.50105506,39.59550247
PRY,Paraguay,Paraguay,Paraguay,South America,-58.40014084,-23.22823896
PYF,French Polynesia,French Polynesia,French Polynesia,Oceania,-144.9048876,-14.72228068
QAT,Qatar,Qatar,Qatar,Asia,51.18478512,25.30600936
ROU,Romania,Romania,Romania,Europe,24.97293286,45.85242939
RUS,Russia,Russia,Russia,Europe,96.68657347,61.98052168
RWA,Rwanda,Rwanda,Rwanda,Africa,29.91989113,-1.99033199
ESH,Western Sahara,Western Sahara,NA,Africa,-12.2198297,24.22956358
SAU,Saudi Arabia,Saudi Arabia,Saudi Arabia,Asia,44.53687041,24.12245467
SDN,Sudan,Sudan,Sudan,Africa,29.94047226,15.99035431
SSD,South Sudan,South Sudan,South Sudan,Africa,30.24790056,7.30877585
SEN,Senegal,Senegal,Senegal,Africa,-14.47348904,14.36624381
SGP,Singapore,Singapore,Singapore,Asia,103.8172532,1.35877066
SGS,South Georgia & South Sandwich Islands,South Georgia and South Sandwich Islands,NA,Antarctica,-36.43320448,-54.46487151
SHN,St. Helena,Saint Helena,NA,Africa,-9.54768684,-12.40367621
SLB,Solomon Islands,Solomon Islands,Solomon Islands,Oceania,159.6328471,-8.92175696
SLE,Sierra Leone,Sierra Leone,Sierra Leone,Africa,-11.79271209,8.56329069
SLV,El Salvador,El Salvador,El Salvador,North America,-88.87164456,13.73944008
SMR,San Marino,San Marino,NA,Europe,12.45923029,43.94186939
SOL,Somaliland,Somaliland,NA,Africa,46.2519833,9.73345795
SOM,Somalia,Somalia,Somalia,Africa,45.70716243,4.75065195
SPM,St. Pierre & Miquelon,Saint Pierre and Miquelon,NA,North America,-56.30319339,46.91919986
SRB,Serbia,Republic of Serbia,Serbia,Europe,20.78958121,44.22150308
STP,São Tomé & Príncipe,Sao Tome and Principe,NA,Africa,6.72429635,0.44390851
SUR,Suriname,Suriname,Suriname,South America,-55.91234833,4.13055377
SVK,Slovakia,Slovakia,Slovakia,Europe,19.47905212,48.70547175
SVN,Slovenia,Slovenia,Slovenia,Europe,14.8044464,46.11555444
SWE,Sweden,Sweden,Sweden,Europe,16.74371219,62.79232016
SWZ,Eswatini,Swaziland,Eswatini,Africa,31.48193159,-26.55842734
SXM,Sint Maarten,Sint Maarten,Saint Martin,North America,-63.05713283,18.05081813
SYC,Seychelles,Seychelles,Seychelles,Africa,55.47601997,-4.66097821
SYR,Syria,Syria,Syria,Asia,38.50787939,35.02547248
TCA,Turks & Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,North America,-71.97385725,21.83047424
TCD,Chad,Chad,Chad,Africa,18.64493211,15.33333336
TGO,Togo,Togo,Togo,Africa,0.96232118,8.52529798
THA,Thailand,Thailand,Thailand,Asia,101.0028835,15.11816347
TJK,Tajikistan,Tajikistan,NA,Asia,71.01363312,38.53045125
TKM,Turkmenistan,Turkmenistan,NA,Asia,59.37099935,39.11554017
TLS,Timor-Leste,East Timor,Timor-Leste,Asia,125.8443864,-8.8288854
TON,Tonga,Tonga,NA,Oceania,-174.8097544,-20.42814141
TTO,Trinidad & Tobago,Trinidad and Tobago,Trinidad and Tobago,South America,-61.26565805,10.45735757
TUN,Tunisia,Tunisia,Tunisia,Africa,9.55288287,34.11956663
TUR,Turkey,Turkey,Turkey,Europe,35.16895529,39.06160342
TWN,Taiwan,Taiwan,Taiwan,Asia,120.9542726,23.75400343
TZA,Tanzania,United Republic of Tanzania,Tanzania,Africa,34.81310214,-6.27565815
UGA,Uganda,Uganda,Uganda,Africa,32.36907536,1.27469024
UKR,Ukraine,Ukraine,Crimea,Europe,31.38325794,48.99656784
URY,Uruguay,Uruguay,Uruguay,South America,-56.01806795,-32.79951982
USA,United States,United States of America,USA,North America,-112.4616706,45.67955203
UZB,Uzbekistan,Uzbekistan,Uzbekistan,Asia,63.14001799,41.75554081
VAT,Vatican City,Vatican,NA,Europe,12.43386255,41.90174097
VCT,St. Vincent & Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,-61.20129438,13.22471841
VEN,Venezuela,Venezuela,Venezuela,South America,-66.18184085,7.12422395
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,North America,-64.47140241,18.52593375
VIR,U.S. Virgin Islands,United States Virgin Islands,U.S. Virgin Islands,North America,-64.80300497,17.95501398
VNM,Vietnam,Vietnam,Vietnam,Asia,106.2991386,16.64601451
VUT,Vanuatu,Vanuatu,Vanuatu,Oceania,167.6863674,-16.22630588
PSE,Palestinian Territories,West Bank,Palestine,Asia,35.24782134,31.94798033
WLF,Wallis & Futuna,Wallis and Futuna,Wallis and Futuna Islands,Oceania,-177.3481331,-13.88724988
WSM,Samoa,Samoa,NA,Oceania,-172.1648148,-13.75327339
YEM,Yemen,Yemen,NA,Asia,47.58676005,15.90927655
ZAF,South Africa,South Africa,South Africa,Africa,25.08388384,-29.0003377
ZMB,Zambia,Zambia,Zambia,Africa,27.77475082,-13.45824537
ZWE,Zimbabwe,Zimbabwe,Zimbabwe,Africa,29.85145031,-19.00420587
TUV,Tuvalu,Tuvalu,NA,Oceania,178.5198949,-7.76005828
GUF,French Guiana,French Guiana,French Guiana,South America,-53.2484462,3.92595718
BES,Caribbean Netherlands,NA,Bonaire,South America,-68.238534,12.178361
GIB,Gibraltar,NA,Gibraltar,Europe,-5.35257,36.14474
TKL,Tokelau,NA,NA,Oceania,-171.855881,-8.967363
GLP,Guadeloupe,NA,Guadeloupe,North America,-61.580002,16.27
MTQ,Martinique,NA,Martinique,North America,-61.024174,14.641528
MYT,Mayotte,NA,Mayotte,Africa,45.130741,-12.809645
REU,Réunion,NA,Reunion,Africa,55.448101,-20.878901
