collection_date,REGION,sgtf,non_sgtf
2020-04-30,North West,0,0
2020-04-30,South East,0,0
2020-04-30,South West,0,0
2020-05-01,East of England,0,0
2020-05-01,London,0,0
2020-05-01,Midlands,0,0
2020-05-01,North East and Yorkshire,0,0
2020-05-01,North West,0,0
2020-05-01,South East,0,0
2020-05-01,South West,0,0
2020-05-02,East of England,0,0
2020-05-02,London,0,0
2020-05-02,Midlands,0,0
2020-05-02,North East and Yorkshire,0,0
2020-05-02,North West,0,0
2020-05-02,South East,0,0
2020-05-02,South West,0,0
2020-05-03,East of England,0,0
2020-05-03,London,0,0
2020-05-03,Midlands,0,0
2020-05-03,North East and Yorkshire,0,0
2020-05-03,North West,0,0
2020-05-03,South East,0,0
2020-05-03,South West,0,0
2020-05-04,East of England,0,0
2020-05-04,London,0,0
2020-05-04,Midlands,0,0
2020-05-04,North East and Yorkshire,0,0
2020-05-04,North West,0,0
2020-05-04,South East,0,0
2020-05-04,South West,0,0
2020-05-05,East of England,0,0
2020-05-05,London,0,0
2020-05-05,Midlands,0,0
2020-05-05,North East and Yorkshire,0,0
2020-05-05,North West,0,0
2020-05-05,South East,0,0
2020-05-05,South West,0,0
2020-05-06,East of England,0,0
2020-05-06,London,0,0
2020-05-06,Midlands,0,0
2020-05-06,North East and Yorkshire,0,0
2020-05-06,North West,0,0
2020-05-06,South East,0,0
2020-05-06,South West,0,0
2020-05-07,East of England,0,0
2020-05-07,London,0,0
2020-05-07,Midlands,0,0
2020-05-07,North East and Yorkshire,0,0
2020-05-07,North West,0,0
2020-05-07,South East,0,0
2020-05-07,South West,0,0
2020-05-08,East of England,0,0
2020-05-08,London,0,0
2020-05-08,Midlands,0,0
2020-05-08,North East and Yorkshire,0,0
2020-05-08,North West,0,0
2020-05-08,South East,0,0
2020-05-08,South West,0,0
2020-05-09,East of England,0,0
2020-05-09,London,0,0
2020-05-09,Midlands,0,0
2020-05-09,North East and Yorkshire,0,0
2020-05-09,North West,0,0
2020-05-09,South East,0,0
2020-05-09,South West,0,0
2020-05-10,East of England,0,0
2020-05-10,London,0,0
2020-05-10,Midlands,0,0
2020-05-10,North East and Yorkshire,0,0
2020-05-10,North West,0,0
2020-05-10,South East,0,0
2020-05-10,South West,0,0
2020-05-11,East of England,0,0
2020-05-11,London,0,0
2020-05-11,Midlands,0,0
2020-05-11,North East and Yorkshire,0,0
2020-05-11,North West,0,0
2020-05-11,South East,0,0
2020-05-11,South West,0,0
2020-05-12,East of England,0,0
2020-05-12,London,0,0
2020-05-12,Midlands,0,0
2020-05-12,North East and Yorkshire,0,0
2020-05-12,North West,0,0
2020-05-12,South East,0,0
2020-05-12,South West,0,0
2020-05-13,East of England,0,0
2020-05-13,London,0,0
2020-05-13,Midlands,0,0
2020-05-13,North East and Yorkshire,0,0
2020-05-13,North West,0,0
2020-05-13,South East,0,0
2020-05-13,South West,0,0
2020-05-14,East of England,0,0
2020-05-14,London,0,0
2020-05-14,Midlands,0,0
2020-05-14,North East and Yorkshire,0,0
2020-05-14,North West,0,0
2020-05-14,South East,0,0
2020-05-14,South West,0,0
2020-05-15,East of England,0,0
2020-05-15,London,0,0
2020-05-15,Midlands,0,0
2020-05-15,North East and Yorkshire,0,0
2020-05-15,North West,0,0
2020-05-15,South East,0,0
2020-05-15,South West,0,0
2020-05-16,East of England,0,0
2020-05-16,London,0,0
2020-05-16,Midlands,0,0
2020-05-16,North East and Yorkshire,0,0
2020-05-16,North West,0,0
2020-05-16,South East,0,0
2020-05-16,South West,0,0
2020-05-17,East of England,0,0
2020-05-17,London,0,0
2020-05-17,Midlands,0,0
2020-05-17,North East and Yorkshire,0,0
2020-05-17,North West,0,0
2020-05-17,South East,0,0
2020-05-17,South West,0,0
2020-05-18,East of England,0,0
2020-05-18,London,0,0
2020-05-18,Midlands,0,0
2020-05-18,North East and Yorkshire,0,0
2020-05-18,North West,0,0
2020-05-18,South East,0,0
2020-05-18,South West,0,0
2020-05-19,East of England,0,0
2020-05-19,London,0,0
2020-05-19,Midlands,0,0
2020-05-19,North East and Yorkshire,0,0
2020-05-19,North West,0,0
2020-05-19,South East,0,0
2020-05-19,South West,0,0
2020-05-20,East of England,0,0
2020-05-20,London,0,0
2020-05-20,Midlands,0,0
2020-05-20,North East and Yorkshire,0,0
2020-05-20,North West,0,0
2020-05-20,South East,0,0
2020-05-20,South West,0,0
2020-05-21,East of England,0,0
2020-05-21,London,0,0
2020-05-21,Midlands,0,0
2020-05-21,North East and Yorkshire,0,0
2020-05-21,North West,0,0
2020-05-21,South East,0,0
2020-05-21,South West,0,0
2020-05-22,East of England,0,0
2020-05-22,London,0,0
2020-05-22,Midlands,0,0
2020-05-22,North East and Yorkshire,0,0
2020-05-22,North West,0,0
2020-05-22,South East,0,0
2020-05-22,South West,0,0
2020-05-23,East of England,0,0
2020-05-23,London,0,0
2020-05-23,Midlands,0,0
2020-05-23,North East and Yorkshire,0,0
2020-05-23,North West,0,0
2020-05-23,South East,0,0
2020-05-23,South West,0,0
2020-05-24,East of England,0,0
2020-05-24,London,0,0
2020-05-24,Midlands,0,0
2020-05-24,North East and Yorkshire,0,0
2020-05-24,North West,0,0
2020-05-24,South East,0,0
2020-05-24,South West,0,0
2020-05-25,East of England,0,0
2020-05-25,London,0,0
2020-05-25,Midlands,0,0
2020-05-25,North East and Yorkshire,0,0
2020-05-25,North West,0,0
2020-05-25,South East,0,0
2020-05-25,South West,0,0
2020-05-26,East of England,0,0
2020-05-26,London,0,0
2020-05-26,Midlands,0,0
2020-05-26,North East and Yorkshire,0,0
2020-05-26,North West,0,0
2020-05-26,South East,0,0
2020-05-26,South West,0,0
2020-05-27,East of England,0,0
2020-05-27,London,0,0
2020-05-27,Midlands,0,0
2020-05-27,North East and Yorkshire,0,0
2020-05-27,North West,0,0
2020-05-27,South East,0,0
2020-05-27,South West,0,0
2020-05-28,East of England,0,0
2020-05-28,London,0,0
2020-05-28,Midlands,0,0
2020-05-28,North East and Yorkshire,0,0
2020-05-28,North West,0,0
2020-05-28,South East,0,0
2020-05-28,South West,0,0
2020-05-29,East of England,0,0
2020-05-29,London,0,0
2020-05-29,Midlands,0,0
2020-05-29,North East and Yorkshire,0,0
2020-05-29,North West,0,0
2020-05-29,South East,0,0
2020-05-29,South West,0,0
2020-05-30,East of England,0,0
2020-05-30,London,0,0
2020-05-30,Midlands,0,0
2020-05-30,North East and Yorkshire,0,0
2020-05-30,North West,0,0
2020-05-30,South East,0,0
2020-05-30,South West,0,0
2020-05-31,East of England,0,0
2020-05-31,London,0,0
2020-05-31,Midlands,0,0
2020-05-31,North East and Yorkshire,0,0
2020-05-31,North West,0,0
2020-05-31,South East,0,0
2020-05-31,South West,0,0
2020-06-01,East of England,0,0
2020-06-01,London,0,0
2020-06-01,Midlands,0,0
2020-06-01,North East and Yorkshire,0,0
2020-06-01,North West,0,0
2020-06-01,South East,0,0
2020-06-01,South West,0,0
2020-06-02,East of England,0,0
2020-06-02,London,0,0
2020-06-02,Midlands,0,0
2020-06-02,North East and Yorkshire,0,0
2020-06-02,North West,0,0
2020-06-02,South East,0,0
2020-06-02,South West,0,0
2020-06-03,East of England,0,0
2020-06-03,London,0,0
2020-06-03,Midlands,0,0
2020-06-03,North East and Yorkshire,0,0
2020-06-03,North West,0,0
2020-06-03,South East,0,0
2020-06-03,South West,0,0
2020-06-04,East of England,0,0
2020-06-04,London,0,0
2020-06-04,Midlands,0,0
2020-06-04,North East and Yorkshire,0,0
2020-06-04,North West,0,0
2020-06-04,South East,0,0
2020-06-04,South West,0,0
2020-06-05,East of England,0,0
2020-06-05,London,0,0
2020-06-05,Midlands,0,0
2020-06-05,North East and Yorkshire,0,0
2020-06-05,North West,0,0
2020-06-05,South East,0,0
2020-06-05,South West,0,0
2020-06-06,East of England,0,0
2020-06-06,London,0,0
2020-06-06,Midlands,0,0
2020-06-06,North East and Yorkshire,0,0
2020-06-06,North West,0,0
2020-06-06,South East,0,0
2020-06-06,South West,0,0
2020-06-07,East of England,0,0
2020-06-07,London,0,0
2020-06-07,Midlands,0,0
2020-06-07,North East and Yorkshire,0,0
2020-06-07,North West,0,0
2020-06-07,South East,0,0
2020-06-07,South West,0,0
2020-06-08,East of England,0,0
2020-06-08,London,0,0
2020-06-08,Midlands,0,0
2020-06-08,North East and Yorkshire,0,0
2020-06-08,North West,0,0
2020-06-08,South East,0,0
2020-06-08,South West,0,0
2020-06-09,East of England,0,0
2020-06-09,London,0,0
2020-06-09,Midlands,0,0
2020-06-09,North East and Yorkshire,0,0
2020-06-09,North West,0,0
2020-06-09,South East,0,0
2020-06-09,South West,0,0
2020-06-10,East of England,0,0
2020-06-10,London,0,0
2020-06-10,Midlands,0,0
2020-06-10,North East and Yorkshire,0,0
2020-06-10,North West,0,0
2020-06-10,South East,0,0
2020-06-10,South West,0,0
2020-06-11,East of England,0,0
2020-06-11,London,0,0
2020-06-11,Midlands,0,0
2020-06-11,North East and Yorkshire,0,0
2020-06-11,North West,0,0
2020-06-11,South East,0,0
2020-06-11,South West,0,0
2020-06-12,East of England,0,0
2020-06-12,London,0,0
2020-06-12,Midlands,0,0
2020-06-12,North East and Yorkshire,0,0
2020-06-12,North West,0,0
2020-06-12,South East,0,0
2020-06-12,South West,0,0
2020-06-13,East of England,0,0
2020-06-13,London,0,0
2020-06-13,Midlands,0,0
2020-06-13,North East and Yorkshire,0,0
2020-06-13,North West,0,0
2020-06-13,South East,0,0
2020-06-13,South West,0,0
2020-06-14,East of England,0,0
2020-06-14,London,0,0
2020-06-14,Midlands,0,0
2020-06-14,North East and Yorkshire,0,0
2020-06-14,North West,0,0
2020-06-14,South East,0,0
2020-06-14,South West,0,0
2020-06-15,East of England,0,0
2020-06-15,London,0,0
2020-06-15,Midlands,0,0
2020-06-15,North East and Yorkshire,0,0
2020-06-15,North West,0,0
2020-06-15,South East,0,0
2020-06-15,South West,0,0
2020-06-16,East of England,0,0
2020-06-16,London,0,0
2020-06-16,Midlands,0,0
2020-06-16,North East and Yorkshire,0,0
2020-06-16,North West,0,0
2020-06-16,South East,0,0
2020-06-16,South West,0,0
2020-06-17,East of England,0,0
2020-06-17,London,0,0
2020-06-17,Midlands,0,0
2020-06-17,North East and Yorkshire,0,0
2020-06-17,North West,0,0
2020-06-17,South East,0,0
2020-06-17,South West,0,0
2020-06-18,East of England,0,0
2020-06-18,London,0,0
2020-06-18,Midlands,0,0
2020-06-18,North East and Yorkshire,0,0
2020-06-18,North West,0,0
2020-06-18,South East,0,0
2020-06-18,South West,0,0
2020-06-19,East of England,0,0
2020-06-19,London,0,0
2020-06-19,Midlands,0,0
2020-06-19,North East and Yorkshire,0,0
2020-06-19,North West,0,0
2020-06-19,South East,0,0
2020-06-19,South West,0,0
2020-06-20,East of England,0,0
2020-06-20,London,0,0
2020-06-20,Midlands,0,0
2020-06-20,North East and Yorkshire,0,0
2020-06-20,North West,0,0
2020-06-20,South East,0,0
2020-06-20,South West,0,0
2020-06-21,East of England,0,0
2020-06-21,London,0,0
2020-06-21,Midlands,0,0
2020-06-21,North East and Yorkshire,0,0
2020-06-21,North West,0,0
2020-06-21,South East,0,0
2020-06-21,South West,0,0
2020-06-22,East of England,0,0
2020-06-22,London,0,0
2020-06-22,Midlands,0,0
2020-06-22,North East and Yorkshire,0,0
2020-06-22,North West,0,0
2020-06-22,South East,0,0
2020-06-22,South West,0,0
2020-06-23,East of England,0,0
2020-06-23,London,0,0
2020-06-23,Midlands,0,0
2020-06-23,North East and Yorkshire,0,0
2020-06-23,North West,0,0
2020-06-23,South East,0,0
2020-06-23,South West,0,0
2020-06-24,East of England,0,0
2020-06-24,London,0,0
2020-06-24,Midlands,0,0
2020-06-24,North East and Yorkshire,0,0
2020-06-24,North West,0,0
2020-06-24,South East,0,0
2020-06-24,South West,0,0
2020-06-25,East of England,0,0
2020-06-25,London,0,0
2020-06-25,Midlands,0,0
2020-06-25,North East and Yorkshire,0,0
2020-06-25,North West,0,0
2020-06-25,South East,0,0
2020-06-25,South West,0,0
2020-06-26,East of England,0,0
2020-06-26,London,0,0
2020-06-26,Midlands,0,0
2020-06-26,North East and Yorkshire,0,0
2020-06-26,North West,0,0
2020-06-26,South East,0,0
2020-06-26,South West,0,0
2020-06-27,East of England,0,0
2020-06-27,London,0,0
2020-06-27,Midlands,0,0
2020-06-27,North East and Yorkshire,0,0
2020-06-27,North West,0,0
2020-06-27,South East,0,0
2020-06-27,South West,0,0
2020-06-28,East of England,0,0
2020-06-28,London,0,0
2020-06-28,Midlands,0,0
2020-06-28,North East and Yorkshire,0,0
2020-06-28,North West,0,0
2020-06-28,South East,0,0
2020-06-28,South West,0,0
2020-06-29,East of England,0,0
2020-06-29,London,0,0
2020-06-29,Midlands,0,0
2020-06-29,North East and Yorkshire,0,0
2020-06-29,North West,0,0
2020-06-29,South East,0,0
2020-06-29,South West,0,0
2020-06-30,East of England,0,0
2020-06-30,London,0,0
2020-06-30,Midlands,0,0
2020-06-30,North East and Yorkshire,0,0
2020-06-30,North West,0,0
2020-06-30,South East,0,0
2020-06-30,South West,0,0
2020-07-01,East of England,0,0
2020-07-01,London,0,0
2020-07-01,Midlands,0,0
2020-07-01,North East and Yorkshire,0,0
2020-07-01,North West,0,0
2020-07-01,South East,0,0
2020-07-01,South West,0,0
2020-07-02,East of England,0,0
2020-07-02,London,0,0
2020-07-02,Midlands,0,0
2020-07-02,North East and Yorkshire,0,0
2020-07-02,North West,0,0
2020-07-02,South East,0,0
2020-07-02,South West,0,0
2020-07-03,East of England,0,0
2020-07-03,London,0,0
2020-07-03,Midlands,0,0
2020-07-03,North East and Yorkshire,0,0
2020-07-03,North West,0,0
2020-07-03,South East,0,0
2020-07-03,South West,0,0
2020-07-04,East of England,0,0
2020-07-04,London,0,0
2020-07-04,Midlands,0,0
2020-07-04,North East and Yorkshire,0,0
2020-07-04,North West,0,0
2020-07-04,South East,0,0
2020-07-04,South West,0,0
2020-07-05,East of England,0,0
2020-07-05,London,0,0
2020-07-05,Midlands,0,0
2020-07-05,North East and Yorkshire,0,0
2020-07-05,North West,0,0
2020-07-05,South East,0,0
2020-07-05,South West,0,0
2020-07-06,East of England,0,0
2020-07-06,London,0,0
2020-07-06,Midlands,0,0
2020-07-06,North East and Yorkshire,0,0
2020-07-06,North West,0,0
2020-07-06,South East,0,0
2020-07-06,South West,0,0
2020-07-07,East of England,0,0
2020-07-07,London,0,0
2020-07-07,Midlands,0,0
2020-07-07,North East and Yorkshire,0,0
2020-07-07,North West,0,0
2020-07-07,South East,0,0
2020-07-07,South West,0,0
2020-07-08,East of England,0,0
2020-07-08,London,0,0
2020-07-08,Midlands,0,0
2020-07-08,North East and Yorkshire,0,0
2020-07-08,North West,0,0
2020-07-08,South East,0,0
2020-07-08,South West,0,0
2020-07-09,East of England,0,0
2020-07-09,London,0,0
2020-07-09,Midlands,0,0
2020-07-09,North East and Yorkshire,0,0
2020-07-09,North West,0,0
2020-07-09,South East,0,0
2020-07-09,South West,0,0
2020-07-10,East of England,0,0
2020-07-10,London,0,0
2020-07-10,Midlands,0,0
2020-07-10,North East and Yorkshire,0,0
2020-07-10,North West,0,0
2020-07-10,South East,0,0
2020-07-10,South West,0,0
2020-07-11,East of England,0,0
2020-07-11,London,0,0
2020-07-11,Midlands,0,0
2020-07-11,North East and Yorkshire,0,0
2020-07-11,North West,0,0
2020-07-11,South East,0,0
2020-07-11,South West,0,0
2020-07-12,East of England,0,0
2020-07-12,London,0,0
2020-07-12,Midlands,0,0
2020-07-12,North East and Yorkshire,0,0
2020-07-12,North West,0,0
2020-07-12,South East,0,0
2020-07-12,South West,0,0
2020-07-13,East of England,0,0
2020-07-13,London,0,0
2020-07-13,Midlands,0,0
2020-07-13,North East and Yorkshire,0,0
2020-07-13,North West,0,0
2020-07-13,South East,0,0
2020-07-13,South West,0,0
2020-07-14,East of England,0,0
2020-07-14,London,0,0
2020-07-14,Midlands,0,0
2020-07-14,North East and Yorkshire,0,0
2020-07-14,North West,0,0
2020-07-14,South East,0,0
2020-07-14,South West,0,0
2020-07-15,East of England,0,0
2020-07-15,London,0,0
2020-07-15,Midlands,0,0
2020-07-15,North East and Yorkshire,0,0
2020-07-15,North West,0,0
2020-07-15,South East,0,0
2020-07-15,South West,0,0
2020-07-16,East of England,0,0
2020-07-16,London,0,0
2020-07-16,Midlands,0,0
2020-07-16,North East and Yorkshire,0,0
2020-07-16,North West,0,0
2020-07-16,South East,0,0
2020-07-16,South West,0,0
2020-07-17,East of England,0,0
2020-07-17,London,0,0
2020-07-17,Midlands,0,0
2020-07-17,North East and Yorkshire,0,0
2020-07-17,North West,0,0
2020-07-17,South East,0,0
2020-07-17,South West,0,0
2020-07-18,East of England,0,0
2020-07-18,London,0,0
2020-07-18,Midlands,0,0
2020-07-18,North East and Yorkshire,0,0
2020-07-18,North West,0,0
2020-07-18,South East,0,0
2020-07-18,South West,0,0
2020-07-19,East of England,0,0
2020-07-19,London,0,0
2020-07-19,Midlands,0,0
2020-07-19,North East and Yorkshire,0,0
2020-07-19,North West,0,0
2020-07-19,South East,0,0
2020-07-19,South West,0,0
2020-07-20,East of England,0,0
2020-07-20,London,0,0
2020-07-20,Midlands,0,0
2020-07-20,North East and Yorkshire,0,0
2020-07-20,North West,0,0
2020-07-20,South East,0,0
2020-07-20,South West,0,0
2020-07-21,East of England,0,0
2020-07-21,London,0,0
2020-07-21,Midlands,0,0
2020-07-21,North East and Yorkshire,0,0
2020-07-21,North West,0,0
2020-07-21,South East,0,0
2020-07-21,South West,0,0
2020-07-22,East of England,0,0
2020-07-22,London,0,0
2020-07-22,Midlands,0,0
2020-07-22,North East and Yorkshire,0,0
2020-07-22,North West,0,0
2020-07-22,South East,0,0
2020-07-22,South West,0,0
2020-07-23,East of England,0,0
2020-07-23,London,0,0
2020-07-23,Midlands,0,0
2020-07-23,North East and Yorkshire,0,0
2020-07-23,North West,0,0
2020-07-23,South East,0,0
2020-07-23,South West,0,0
2020-07-24,East of England,0,0
2020-07-24,London,0,0
2020-07-24,Midlands,0,0
2020-07-24,North East and Yorkshire,0,0
2020-07-24,North West,0,0
2020-07-24,South East,0,0
2020-07-24,South West,0,0
2020-07-25,East of England,0,0
2020-07-25,London,0,0
2020-07-25,Midlands,0,0
2020-07-25,North East and Yorkshire,0,0
2020-07-25,North West,0,0
2020-07-25,South East,0,0
2020-07-25,South West,0,0
2020-07-26,East of England,0,0
2020-07-26,London,0,0
2020-07-26,Midlands,0,0
2020-07-26,North East and Yorkshire,0,0
2020-07-26,North West,0,0
2020-07-26,South East,0,0
2020-07-26,South West,0,0
2020-07-27,East of England,0,0
2020-07-27,London,0,0
2020-07-27,Midlands,0,0
2020-07-27,North East and Yorkshire,0,0
2020-07-27,North West,0,0
2020-07-27,South East,0,0
2020-07-27,South West,0,0
2020-07-28,East of England,0,0
2020-07-28,London,0,0
2020-07-28,Midlands,0,0
2020-07-28,North East and Yorkshire,0,0
2020-07-28,North West,0,0
2020-07-28,South East,0,0
2020-07-28,South West,0,0
2020-07-29,East of England,0,0
2020-07-29,London,0,0
2020-07-29,Midlands,0,0
2020-07-29,North East and Yorkshire,0,0
2020-07-29,North West,0,0
2020-07-29,South East,0,0
2020-07-29,South West,0,0
2020-07-30,East of England,0,0
2020-07-30,London,0,0
2020-07-30,Midlands,0,0
2020-07-30,North East and Yorkshire,0,0
2020-07-30,North West,0,0
2020-07-30,South East,0,0
2020-07-30,South West,0,0
2020-07-31,East of England,0,0
2020-07-31,London,0,0
2020-07-31,Midlands,0,0
2020-07-31,North East and Yorkshire,0,0
2020-07-31,North West,0,0
2020-07-31,South East,0,0
2020-07-31,South West,0,0
2020-08-01,East of England,0,0
2020-08-01,London,0,0
2020-08-01,Midlands,0,0
2020-08-01,North East and Yorkshire,0,0
2020-08-01,North West,0,0
2020-08-01,South East,0,0
2020-08-01,South West,0,0
2020-08-02,East of England,0,0
2020-08-02,London,0,0
2020-08-02,Midlands,0,0
2020-08-02,North East and Yorkshire,0,0
2020-08-02,North West,0,0
2020-08-02,South East,0,0
2020-08-02,South West,0,0
2020-08-03,East of England,0,0
2020-08-03,London,0,0
2020-08-03,Midlands,0,0
2020-08-03,North East and Yorkshire,0,0
2020-08-03,North West,0,0
2020-08-03,South East,0,0
2020-08-03,South West,0,0
2020-08-04,East of England,0,0
2020-08-04,London,0,0
2020-08-04,Midlands,0,0
2020-08-04,North East and Yorkshire,0,0
2020-08-04,North West,0,0
2020-08-04,South East,0,0
2020-08-04,South West,0,0
2020-08-05,East of England,0,0
2020-08-05,London,0,0
2020-08-05,Midlands,0,0
2020-08-05,North East and Yorkshire,0,0
2020-08-05,North West,0,0
2020-08-05,South East,0,0
2020-08-05,South West,0,0
2020-08-06,East of England,0,0
2020-08-06,London,0,0
2020-08-06,Midlands,0,0
2020-08-06,North East and Yorkshire,0,0
2020-08-06,North West,0,0
2020-08-06,South East,0,0
2020-08-06,South West,0,0
2020-08-07,East of England,0,0
2020-08-07,London,0,0
2020-08-07,Midlands,0,0
2020-08-07,North East and Yorkshire,0,0
2020-08-07,North West,0,0
2020-08-07,South East,0,0
2020-08-07,South West,0,0
2020-08-08,East of England,0,0
2020-08-08,London,0,0
2020-08-08,Midlands,0,0
2020-08-08,North East and Yorkshire,0,0
2020-08-08,North West,0,0
2020-08-08,South East,0,0
2020-08-08,South West,0,0
2020-08-09,East of England,0,0
2020-08-09,London,0,0
2020-08-09,Midlands,0,0
2020-08-09,North East and Yorkshire,0,0
2020-08-09,North West,0,0
2020-08-09,South East,0,0
2020-08-09,South West,0,0
2020-08-10,East of England,0,0
2020-08-10,London,0,0
2020-08-10,Midlands,0,0
2020-08-10,North East and Yorkshire,0,0
2020-08-10,North West,0,0
2020-08-10,South East,0,0
2020-08-10,South West,0,0
2020-08-11,East of England,0,0
2020-08-11,London,0,0
2020-08-11,Midlands,0,0
2020-08-11,North East and Yorkshire,0,0
2020-08-11,North West,0,0
2020-08-11,South East,0,0
2020-08-11,South West,0,0
2020-08-12,East of England,0,0
2020-08-12,London,0,0
2020-08-12,Midlands,0,0
2020-08-12,North East and Yorkshire,0,0
2020-08-12,North West,0,0
2020-08-12,South East,0,0
2020-08-12,South West,0,0
